Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
15.333333333333334,18.666666666666668,21.833333333333332
15.178571428571429,18.428571428571427,21.660714285714285
14.32258064516129,17.387096774193548,20.483870967741936
15.566666666666666,19.0,22.233333333333334
14.64516129032258,17.580645161290324,20.838709677419356
11.633333333333333,14.083333333333334,16.683333333333334
8.96774193548387,10.725806451612904,12.951612903225806
8.903225806451612,10.725806451612904,12.85483870967742
8.766666666666667,10.566666666666666,12.65
8.806451612903226,10.564516129032258,12.709677419354838
8.833333333333334,10.6,12.75
9.483870967741936,11.483870967741936,13.67741935483871
11.419354838709678,14.0,16.20967741935484
12.964285714285714,15.785714285714286,18.446428571428573
12.709677419354838,15.387096774193548,18.06451612903226
12.7,15.5,18.133333333333333
13.6,16.6,19.4
60.0,72.5,85.5
55.0,66.75,78.5
54.83870967741935,66.56451612903226,78.2741935483871
56.333333333333336,68.31666666666666,80.38333333333334
61.29032258064516,74.43548387096774,87.53225806451613
53.666666666666664,65.21666666666667,76.63333333333334
59.03225806451613,71.38709677419355,84.14516129032258
54.193548387096776,65.8225806451613,77.37096774193549
51.0,62.15,72.9
54.83870967741935,66.56451612903226,78.2741935483871
55.333333333333336,67.13333333333334,78.96666666666667
59.03225806451613,71.54838709677419,84.2258064516129
65.48387096774194,79.35483870967742,93.45161290322581
58.92857142857143,71.625,84.17857142857143
60.32258064516129,73.25806451612904,86.14516129032258
62.666666666666664,75.93333333333334,89.41666666666667
62.0,75.4,88.6
22.0,26.666666666666668,31.333333333333332
24.642857142857142,29.821428571428573,35.142857142857146
19.93548387096774,24.112903225806452,28.387096774193548
18.933333333333334,22.916666666666668,27.016666666666666
18.096774193548388,22.016129032258064,25.822580645161292
18.733333333333334,22.783333333333335,26.883333333333333
21.032258064516128,25.467741935483872,30.048387096774192
24.612903225806452,29.693548387096776,35.08064516129032
25.933333333333334,31.4,36.93333333333333
24.032258064516128,29.129032258064516,34.225806451612904
24.333333333333332,29.283333333333335,34.71666666666667
24.903225806451612,30.193548387096776,35.516129032258064
25.483870967741936,30.758064516129032,36.435483870967744
25.392857142857142,30.803571428571427,36.19642857142857
23.516129032258064,28.516129032258064,33.483870967741936
21.466666666666665,26.0,30.616666666666667
19.0,23.05,27.2
55.0,66.5,78.33333333333333
54.32142857142857,65.76785714285714,77.375
46.774193548387096,56.58064516129032,66.74193548387096
45.53333333333333,55.016666666666666,64.93333333333334
47.87096774193548,57.95161290322581,68.16129032258064
60.0,72.6,85.46666666666667
48.54838709677419,58.83870967741935,69.2258064516129
57.935483870967744,70.14516129032258,82.54838709677419
70.13333333333334,84.75,100.0
70.25806451612904,85.03225806451613,100.06451612903226
69.76666666666667,84.5,99.4
70.25806451612904,84.96774193548387,100.1774193548387
65.7741935483871,79.61290322580645,93.7741935483871
66.92857142857143,80.94642857142857,95.44642857142857
63.96774193548387,77.56451612903226,91.24193548387096
60.43333333333333,73.05,86.0
60.8,73.4,86.7
18.0,21.666666666666668,25.666666666666668
17.071428571428573,20.714285714285715,24.232142857142858
17.70967741935484,21.419354838709676,25.112903225806452
17.766666666666666,21.566666666666666,25.283333333333335
18.838709677419356,22.64516129032258,26.822580645161292
17.466666666666665,21.133333333333333,24.816666666666666
15.483870967741936,18.903225806451612,21.919354838709676
14.580645161290322,17.725806451612904,20.741935483870968
13.833333333333334,16.783333333333335,19.6
14.870967741935484,18.177419354838708,21.129032258064516
15.3,18.7,21.633333333333333
15.870967741935484,19.387096774193548,22.56451612903226
16.580645161290324,20.0,23.580645161290324
17.035714285714285,20.696428571428573,24.410714285714285
18.70967741935484,22.56451612903226,26.661290322580644
18.3,22.066666666666666,25.983333333333334
16.9,20.4,24.1
46.333333333333336,56.0,66.0
47.285714285714285,57.142857142857146,67.42857142857143
30.322580645161292,36.75806451612903,43.20967741935484
23.933333333333334,28.866666666666667,34.166666666666664
31.580645161290324,38.193548387096776,45.145161290322584
36.36666666666667,44.083333333333336,51.766666666666666
41.41935483870968,49.983870967741936,59.064516129032256
39.74193548387097,48.096774193548384,56.67741935483871
35.3,42.666666666666664,50.31666666666667
40.83870967741935,49.354838709677416,58.145161290322584
40.56666666666667,49.05,57.88333333333333
34.483870967741936,41.58064516129032,49.17741935483871
33.87096774193548,40.983870967741936,48.32258064516129
37.357142857142854,45.285714285714285,53.232142857142854
26.838709677419356,32.435483870967744,38.33870967741935
32.6,39.45,46.55
33.3,40.25,47.25
34.666666666666664,41.833333333333336,49.333333333333336
35.42857142857143,42.80357142857143,50.32142857142857
28.451612903225808,34.41935483870968,40.67741935483871
27.733333333333334,33.71666666666667,39.6
29.967741935483872,36.33870967741935,42.82258064516129
37.56666666666667,45.55,53.6
34.83870967741935,42.17741935483871,49.70967741935484
35.903225806451616,43.403225806451616,51.064516129032256
32.93333333333333,39.88333333333333,46.833333333333336
33.03225806451613,40.0,46.95161290322581
31.233333333333334,37.86666666666667,44.43333333333333
29.451612903225808,35.66129032258065,42.0
30.741935483870968,37.306451612903224,43.82258064516129
29.0,35.107142857142854,41.357142857142854
28.70967741935484,34.74193548387097,40.95161290322581
31.0,37.583333333333336,44.2
26.5,32.1,37.7
24.666666666666668,29.666666666666668,35.333333333333336
26.678571428571427,32.285714285714285,38.035714285714285
20.70967741935484,25.06451612903226,29.467741935483872
20.366666666666667,24.633333333333333,29.0
21.70967741935484,26.20967741935484,30.919354838709676
25.3,30.616666666666667,36.1
25.29032258064516,30.677419354838708,36.03225806451613
28.0,33.91935483870968,40.0
23.0,27.783333333333335,32.78333333333333
