,Vegetable_Name,year,month,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
0,Amaranth Leaves,2022,1,14.666666666666666,17.5,20.666666666666668
1,Amaranth Leaves,2022,2,14.535714285714286,17.660714285714285,20.696428571428573
2,Amaranth Leaves,2022,3,15.774193548387096,19.129032258064516,22.612903225806452
3,Amaranth Leaves,2022,4,15.233333333333333,18.483333333333334,21.616666666666667
4,Amaranth Leaves,2022,5,15.129032258064516,18.338709677419356,21.467741935483872
5,Amaranth Leaves,2022,6,10.933333333333334,13.2,15.7
6,Amaranth Leaves,2022,7,8.96774193548387,10.693548387096774,12.951612903225806
7,Amaranth Leaves,2022,8,8.838709677419354,10.661290322580646,12.758064516129032
8,Amaranth Leaves,2022,9,9.033333333333333,10.866666666666667,13.05
9,Amaranth Leaves,2022,10,9.064516129032258,10.919354838709678,13.096774193548388
10,Amaranth Leaves,2022,11,9.2,11.0,13.3
11,Amaranth Leaves,2022,12,9.35483870967742,11.241935483870968,13.403225806451612
12,Amaranth Leaves,2023,1,11.35483870967742,13.951612903225806,16.193548387096776
13,Amaranth Leaves,2023,2,14.071428571428571,17.035714285714285,20.107142857142858
14,Amaranth Leaves,2023,3,13.129032258064516,16.0,18.693548387096776
15,Amaranth Leaves,2023,4,12.466666666666667,15.133333333333333,17.7
16,Amaranth Leaves,2023,5,13.1,15.9,18.65
17,Amla,2022,1,53.333333333333336,64.83333333333333,76.16666666666667
18,Amla,2022,2,54.285714285714285,65.92857142857143,77.5
19,Amla,2022,3,54.83870967741935,66.56451612903226,78.2741935483871
20,Amla,2022,4,52.333333333333336,63.68333333333333,74.76666666666667
21,Amla,2022,5,63.225806451612904,76.62903225806451,90.2258064516129
22,Amla,2022,6,55.0,66.75,78.5
23,Amla,2022,7,51.61290322580645,62.854838709677416,73.75806451612904
24,Amla,2022,8,51.61290322580645,62.854838709677416,73.75806451612904
25,Amla,2022,9,50.666666666666664,61.766666666666666,72.43333333333334
26,Amla,2022,10,56.45161290322581,68.41935483870968,80.53225806451613
